Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US10473,10473,ZCTA5 10473,19146,873
8600000US10474,10474,ZCTA5 10474,12158,1657
8600000US10475,10475,ZCTA5 10475,25863,1844
8600000US10501,10501,ZCTA5 10501,53420,9040
8600000US10502,10502,ZCTA5 10502,69832,6416
8600000US10503,10503,ZCTA5 10503,104207,42158
8600000US10504,10504,ZCTA5 10504,108839,14142
8600000US10505,10505,ZCTA5 10505,56099,14913
8600000US10506,10506,ZCTA5 10506,108179,17998
8600000US10507,10507,ZCTA5 10507,40554,7114
8600000US10509,10509,ZCTA5 10509,40706,2501
8600000US10510,10510,ZCTA5 10510,76473,6491
8600000US10511,10511,ZCTA5 10511,38074,3268
8600000US10512,10512,ZCTA5 10512,42116,2529
8600000US10514,10514,ZCTA5 10514,105327,9718
8600000US10516,10516,ZCTA5 10516,48189,5637
8600000US10517,10517,ZCTA5 10517,31951,7017
8600000US10518,10518,ZCTA5 10518,67099,14471
8600000US10519,10519,ZCTA5 10519,95638,94245
8600000US10520,10520,ZCTA5 10520,57067,4230
8600000US10522,10522,ZCTA5 10522,55789,6462
8600000US10523,10523,ZCTA5 10523,35849,3113
8600000US10524,10524,ZCTA5 10524,58927,8007
8600000US10526,10526,ZCTA5 10526,76293,16656
8600000US10527,10527,ZCTA5 10527,51197,7258
8600000US10528,10528,ZCTA5 10528,61452,5566
8600000US10530,10530,ZCTA5 10530,59401,4326
8600000US10532,10532,ZCTA5 10532,40607,4251
8600000US10533,10533,ZCTA5 10533,80561,12371
8600000US10535,10535,ZCTA5 10535,35279,11930
8600000US10536,10536,ZCTA5 10536,78854,8176
8600000US10537,10537,ZCTA5 10537,36829,7914
8600000US10538,10538,ZCTA5 10538,89558,7765
8600000US10541,10541,ZCTA5 10541,41522,2548
8600000US10543,10543,ZCTA5 10543,54785,4902
8600000US10545,10545,ZCTA5 10545,15208,8803
8600000US10546,10546,ZCTA5 10546,61589,15917
8600000US10547,10547,ZCTA5 10547,37076,2844
8600000US10548,10548,ZCTA5 10548,41311,3808
8600000US10549,10549,ZCTA5 10549,57636,6445
8600000US10550,10550,ZCTA5 10550,23006,1648
8600000US10552,10552,ZCTA5 10552,39985,2736
8600000US10553,10553,ZCTA5 10553,24873,1914
8600000US10560,10560,ZCTA5 10560,68408,10492
8600000US10562,10562,ZCTA5 10562,33901,1561
8600000US10566,10566,ZCTA5 10566,32193,2974
8600000US10567,10567,ZCTA5 10567,50524,3332
8600000US10570,10570,ZCTA5 10570,56268,3912
8600000US10573,10573,ZCTA5 10573,36886,2675
8600000US10576,10576,ZCTA5 10576,107231,14635
8600000US10577,10577,ZCTA5 10577,49103,13121
8600000US10578,10578,ZCTA5 10578,42165,9036
8600000US10579,10579,ZCTA5 10579,45642,3219
8600000US10580,10580,ZCTA5 10580,93989,7299
8600000US10583,10583,ZCTA5 10583,94439,4188
8600000US10588,10588,ZCTA5 10588,36572,5288
8600000US10589,10589,ZCTA5 10589,57969,5607
8600000US10590,10590,ZCTA5 10590,70038,8880
8600000US10591,10591,ZCTA5 10591,48732,3311
8600000US10594,10594,ZCTA5 10594,45298,4410
8600000US10595,10595,ZCTA5 10595,37907,3679
8600000US10596,10596,ZCTA5 10596,27991,5365
8600000US10597,10597,ZCTA5 10597,88732,42555
8600000US10598,10598,ZCTA5 10598,50410,3700
8600000US10601,10601,ZCTA5 10601,56959,8363
8600000US10603,10603,ZCTA5 10603,45770,3014
8600000US10604,10604,ZCTA5 10604,52021,6574
8600000US10605,10605,ZCTA5 10605,56810,3945
8600000US10606,10606,ZCTA5 10606,34729,2785
