Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US06390,06390,ZCTA5 06390,53707,23370
8600000US07421,07421,ZCTA5 07421,39655,3489
8600000US10001,10001,ZCTA5 10001,86014,15442
8600000US10002,10002,ZCTA5 10002,30677,1365
8600000US10003,10003,ZCTA5 10003,91141,4717
8600000US10004,10004,ZCTA5 10004,105390,14756
8600000US10005,10005,ZCTA5 10005,102957,11481
8600000US10006,10006,ZCTA5 10006,103279,14411
8600000US10007,10007,ZCTA5 10007,153897,18671
8600000US10009,10009,ZCTA5 10009,47782,2472
8600000US10010,10010,ZCTA5 10010,88872,6061
8600000US10011,10011,ZCTA5 10011,114218,7538
8600000US10012,10012,ZCTA5 10012,85491,5147
8600000US10013,10013,ZCTA5 10013,107794,9162
8600000US10014,10014,ZCTA5 10014,122098,8088
8600000US10016,10016,ZCTA5 10016,88762,5013
8600000US10017,10017,ZCTA5 10017,106244,8907
8600000US10018,10018,ZCTA5 10018,84134,7758
8600000US10019,10019,ZCTA5 10019,94797,6403
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,125769,9366
8600000US10022,10022,ZCTA5 10022,145479,14665
8600000US10023,10023,ZCTA5 10023,114641,7698
8600000US10024,10024,ZCTA5 10024,113584,7004
8600000US10025,10025,ZCTA5 10025,68995,4152
8600000US10026,10026,ZCTA5 10026,39354,2560
8600000US10027,10027,ZCTA5 10027,30256,1761
8600000US10028,10028,ZCTA5 10028,115071,6527
8600000US10029,10029,ZCTA5 10029,27966,1641
8600000US10030,10030,ZCTA5 10030,28648,3137
8600000US10031,10031,ZCTA5 10031,26417,1339
8600000US10032,10032,ZCTA5 10032,23217,1429
8600000US10033,10033,ZCTA5 10033,25767,993
8600000US10034,10034,ZCTA5 10034,26216,1514
8600000US10035,10035,ZCTA5 10035,21618,1727
8600000US10036,10036,ZCTA5 10036,77462,4867
8600000US10037,10037,ZCTA5 10037,27913,3217
8600000US10038,10038,ZCTA5 10038,63676,4814
8600000US10039,10039,ZCTA5 10039,23681,2749
8600000US10040,10040,ZCTA5 10040,24514,1550
8600000US10044,10044,ZCTA5 10044,53174,7128
8600000US10065,10065,ZCTA5 10065,125405,9650
8600000US10069,10069,ZCTA5 10069,112264,23736
8600000US10075,10075,ZCTA5 10075,111997,13877
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
