Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months
8600000US06390,06390,ZCTA5 06390,118,54,168840,40455,86.4,18.2,110973,52776,54.2,24.5,103281,45536,50.0,24.0,15481,5694,0.0,22.2,-,**,0.0,22.2,-,**,20.3,19.0,42438,14825,73,42,139052,34629,0.0,32.3,N,N,32.9,28.7,N,N,58.9,28.2,N,N,0.0,32.3,N,N,8.2,10.9,N,N,0.0,32.3,N,N,303,151,66379,23909,98.0,5.3,67208,24521,0.0,9.4,-,**,0.0,9.4,-,**,0.0,9.4,-,**,0.0,9.4,-,**,0.0,9.4,-,**,2.0,5.3,N,N,0.0,9.4,-,**,98.0,5.3,67208,24521,40.7,(X),(X),(X),63.0,(X),(X),(X),28.2,(X),(X),(X)
8600000US07421,07421,ZCTA5 07421,2575,180,105681,9312,86.6,3.8,105021,10704,21.7,5.1,8187,3603,24.2,4.5,21750,2571,2.8,1.6,10543,4248,3.8,2.8,3129,1744,18.8,3.8,24912,7215,1797,159,117000,12097,8.6,3.8,45636,15596,27.0,5.6,90016,15751,40.1,6.7,130371,18298,6.2,2.6,97480,19309,13.4,4.5,187361,62382,4.7,3.9,114174,22695,7281,512,38961,3476,89.9,4.0,41903,3773,1.2,1.3,N,N,2.7,3.2,N,N,2.0,2.4,22855,28756,0.0,0.4,-,**,3.0,3.4,8839,11300,1.2,0.8,22545,15249,5.0,2.8,36050,8019,85.9,4.4,41993,3952,39.9,(X),(X),(X),43.4,(X),(X),(X),32.9,(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11967,548,162724,26868,81.6,2.8,172253,20782,30.4,3.1,46538,40336,18.7,2.5,17286,1565,4.6,1.6,6817,1078,2.0,1.0,3781,1770,7.9,1.7,28619,5678,3550,380,188216,31113,8.3,3.7,61838,30755,29.6,6.9,166538,69051,39.5,5.4,278240,45794,17.9,6.3,85984,28236,3.3,3.0,199496,173331,1.4,1.2,135443,61471,23332,1740,86347,15794,63.5,5.1,105570,20044,9.6,5.5,18345,14508,0.1,0.1,70556,40666,21.4,3.3,72809,21393,0.0,0.1,-,**,2.7,2.3,29336,28596,2.6,0.9,40350,19343,15.4,2.2,39573,9714,52.5,4.3,118808,23190,22.3,(X),(X),(X),31.5,(X),(X),(X),20.3,(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,33327,636,64196,2829,66.9,2.0,81504,3796,14.2,1.5,13149,4493,31.6,2.0,12187,572,14.4,1.7,7636,408,6.2,1.3,3890,724,12.5,1.3,16457,2396,16629,752,63273,4327,24.4,2.7,19139,2434,37.3,3.1,52057,5234,18.7,2.5,139719,15900,12.8,2.1,58792,6865,3.9,1.3,81086,19901,3.0,1.0,81966,21859,78096,2456,29666,1419,31.5,2.1,51625,3902,8.5,1.2,18726,3433,0.3,0.2,15211,9250,42.7,1.9,19637,1746,0.0,0.1,N,N,13.4,1.9,17671,2486,3.7,0.8,28003,6731,26.6,1.9,19325,1975,20.9,1.3,67110,4705,31.0,(X),(X),(X),36.1,(X),(X),(X),27.4,(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27258,681,171737,10532,84.4,1.7,173932,11405,35.9,2.4,49595,11774,17.3,2.0,19419,1431,2.1,0.8,9121,2854,0.6,0.3,5216,1577,7.9,1.3,35160,6439,7832,640,279259,28014,9.2,2.3,203428,111309,26.7,4.2,257556,66535,55.1,4.5,317515,33100,6.6,2.4,165608,52441,1.8,1.2,293777,186513,0.6,0.6,96232,40095,56767,1934,85199,4740,77.5,1.7,94322,5747,4.4,0.9,27249,10546,0.2,0.1,32646,34767,12.9,1.4,67512,10937,0.0,0.1,-,**,2.1,1.0,27546,12415,2.8,0.7,53134,19696,7.9,1.2,35949,7648,72.5,1.8,98191,6120,24.3,(X),(X),(X),30.3,(X),(X),(X),33.1,(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1592,210,173800,24892,89.7,6.7,180951,26702,41.8,10.3,13153,5250,6.6,5.4,27653,5974,1.2,1.7,N,N,0.0,1.9,-,**,4.8,5.1,16253,13098,559,157,267742,47961,0.7,1.2,N,N,27.9,12.4,N,N,58.5,15.7,N,N,12.0,12.3,N,N,0.0,5.2,N,N,0.9,1.3,N,N,3044,509,95707,13615,72.3,8.4,102122,16423,1.0,1.2,135332,42969,0.0,1.0,-,**,24.4,8.5,79250,19102,0.2,0.3,N,N,0.4,0.6,N,N,1.6,1.2,46848,40959,8.2,4.4,100896,37451,65.4,8.3,103084,17472,24.2,(X),(X),(X),24.5,(X),(X),(X),16.3,(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4295,335,193229,25435,92.0,3.9,206542,25608,27.3,6.5,6645,2652,2.4,1.7,31379,9864,0.4,0.7,N,N,0.1,0.2,N,N,1.1,1.6,N,N,1416,268,294607,51142,3.5,4.8,N,N,26.9,8.8,N,N,66.9,9.6,N,N,2.7,3.2,N,N,0.0,2.1,N,N,0.0,2.1,N,N,8710,840,99511,11367,73.8,5.2,105926,12027,2.8,1.8,121416,31248,0.0,0.3,-,**,18.7,5.1,85916,37238,0.0,0.3,-,**,2.4,1.8,54582,30682,2.3,1.5,25932,20245,6.8,3.2,51958,10502,69.6,5.5,108766,12785,24.5,(X),(X),(X),23.7,(X),(X),(X),22.4,(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1776,208,174312,27607,96.8,3.0,177311,29162,23.8,7.4,7929,5248,0.0,1.7,-,**,0.0,1.7,-,**,1.6,2.4,N,N,0.0,1.7,-,**,488,125,215682,58931,0.0,6.0,N,N,41.6,14.9,N,N,53.5,15.3,N,N,4.9,7.7,N,N,0.0,6.0,N,N,0.0,6.0,N,N,3277,438,100788,16831,66.0,9.1,102133,21495,3.0,3.2,166432,70335,0.0,0.9,-,**,20.9,6.9,95090,30366,0.0,0.9,-,**,3.4,3.9,169380,243578,6.7,4.6,40915,50054,11.8,6.3,76092,49273,61.6,8.8,104561,22144,20.3,(X),(X),(X),12.5,(X),(X),(X),19.6,(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2743,261,392959,53895,93.8,3.0,386196,53306,39.7,6.9,60986,29241,7.9,3.1,20268,4245,1.1,1.5,N,N,0.0,1.1,-,**,5.9,2.9,72511,69375,1351,215,511515,88131,3.4,3.3,N,N,23.3,9.4,N,N,69.0,10.2,N,N,4.3,3.7,N,N,0.0,2.2,N,N,0.0,2.2,N,N,6740,665,166343,24948,71.1,4.4,196213,31665,5.8,1.7,12219,9016,0.0,0.4,-,**,15.8,3.2,135137,38515,0.0,0.4,-,**,1.6,1.1,105450,193528,5.8,2.1,55573,77928,9.9,3.1,87316,72996,64.9,5.3,204344,33860,19.9,(X),(X),(X),19.4,(X),(X),(X),21.1,(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,30062,550,85897,4222,75.4,2.3,99898,5169,17.4,2.1,17104,5146,22.4,1.9,14813,1085,7.4,1.0,8781,630,4.2,0.9,4001,1104,11.3,1.5,19879,4430,10626,693,97878,8855,17.8,3.0,31295,9913,38.5,5.4,72248,12324,29.9,4.1,183871,25292,10.0,2.3,67838,11149,1.5,0.6,91625,12296,2.4,1.3,60684,9302,59799,1682,46499,2267,60.6,2.1,59757,3580,8.2,1.2,19759,6640,0.1,0.1,51345,21699,13.5,1.7,39729,7827,0.1,0.1,74643,63573,14.2,2.0,15712,2693,3.3,0.8,28052,8296,25.4,1.7,21002,2839,50.5,2.2,66284,3850,24.1,(X),(X),(X),23.8,(X),(X),(X),20.9,(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16070,755,163333,11715,84.2,1.9,175004,14271,31.2,2.7,24404,6190,17.5,2.5,19161,2001,3.3,2.2,9186,1458,1.6,0.7,1196,611,9.9,1.5,35653,6113,5147,607,221654,20766,10.8,3.3,N,N,23.2,5.1,N,N,53.2,6.3,N,N,8.5,3.8,N,N,1.1,1.0,N,N,3.3,4.5,N,N,32854,2303,83240,5674,74.1,3.0,89615,7440,5.7,1.1,32411,12046,0.7,0.7,23869,16081,15.1,2.4,84636,13466,0.0,0.1,-,**,1.6,0.8,44924,24872,2.9,0.9,46096,11694,12.3,3.6,38560,11951,64.0,3.8,97596,7530,25.0,(X),(X),(X),29.1,(X),(X),(X),29.5,(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,28738,1007,194277,13500,83.9,1.8,202417,14225,36.8,2.0,42469,8781,19.2,1.5,19866,1404,2.5,0.8,7557,1568,1.7,0.7,3180,901,9.7,1.4,31126,4222,8706,706,317332,32561,8.8,2.6,N,N,31.4,4.8,N,N,49.8,5.2,N,N,5.0,2.2,N,N,4.5,1.9,N,N,0.4,0.5,N,N,50404,2300,113379,7093,79.4,2.1,122243,7611,4.6,0.9,30605,10003,0.1,0.1,9953,4045,10.1,1.8,115480,26536,0.0,0.1,-,**,2.8,1.0,31836,12180,3.0,0.8,78911,44616,10.9,1.9,53172,11992,72.3,2.2,127778,8398,22.6,(X),(X),(X),26.9,(X),(X),(X),21.3,(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,12240,549,149310,10543,85.9,2.1,154658,10539,28.1,2.7,33126,8560,17.2,1.9,17756,1576,2.3,1.1,7810,2360,0.7,0.5,6790,4696,8.0,1.7,30245,9456,3916,380,215876,23276,11.0,3.5,N,N,35.9,6.1,N,N,43.2,5.5,N,N,5.4,2.4,N,N,4.2,2.3,N,N,0.3,0.4,N,N,24536,1279,79481,5069,75.7,2.8,88458,5368,2.6,0.9,50479,17035,0.2,0.2,19921,27879,16.1,2.7,53860,11898,0.0,0.1,N,N,1.5,0.7,59187,17815,3.9,1.5,41295,12091,5.9,1.3,47877,10315,71.3,2.9,91262,5735,24.0,(X),(X),(X),30.3,(X),(X),(X),24.0,(X),(X),(X)
