,POSTCODE,Violation Count,Id2_x,Median income (dollars); Estimate; Households,Id2_y,Unemployment rate; Estimate; Population 16 years and over,Id2,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
97,11209,110,11209,65181,11209,7.3,11209,39005
98,11210,275,11210,59520,11210,6.8,11210,26617
99,11211,255,11211,59190,11211,5.8,11211,35470
100,11212,614,11212,28495,11212,13.5,11212,17064
101,11213,646,11213,37556,11213,8.9,11213,20401
102,11214,220,11214,52119,11214,7.7,11214,24952
103,11215,244,11215,108178,11215,4.8,11215,64040
104,11216,517,11216,52239,11216,10.4,11216,32291
105,11217,262,11217,94970,11217,6.4,11217,61845
106,11218,380,11218,60821,11218,6.2,11218,27647
107,11219,251,11219,36573,11219,6.5,11219,15183
108,11220,246,11220,40576,11220,8.7,11220,17132
109,11221,404,11221,43361,11221,15.4,11221,22084
110,11222,205,11222,73391,11222,5.3,11222,43603
111,11223,185,11223,44647,11223,9.4,11223,23928
112,11224,184,11224,31371,11224,14.4,11224,23518
113,11225,518,11225,48597,11225,12.4,11225,27054
114,11226,734,11226,45031,11226,9.4,11226,23110
115,11228,99,11228,63641,11228,8.4,11228,30059
116,11229,213,11229,55187,11229,8.3,11229,27997
117,11230,290,11230,43344,11230,8.2,11230,25068
118,11231,275,11231,84223,11231,8.8,11231,56806
119,11232,88,11232,47785,11232,8.2,11232,22028
120,11233,378,11233,35686,11233,10.0,11233,21478
121,11234,186,11234,75362,11234,9.4,11234,32124
122,11235,287,11235,45578,11235,8.2,11235,29449
123,11236,289,11236,60885,11236,8.5,11236,25876
124,11237,381,11237,46351,11237,12.3,11237,20829
125,11238,296,11238,75757,11238,6.9,11238,45762
126,11239,30,11239,24610,11239,10.3,11239,18993
127,11354,127,11354,43660,11354,6.2,11354,23503
128,11355,129,11355,38451,11355,6.4,11355,19277
129,11356,29,11356,57849,11356,5.5,11356,24489
130,11357,20,11357,74255,11357,6.7,11357,35391
131,11358,32,11358,66173,11358,5.1,11358,31790
132,11360,21,11360,82982,11360,5.8,11360,44323
133,11361,31,11361,81846,11361,6.5,11361,35517
134,11362,18,11362,82827,11362,5.3,11362,38579
135,11363,2,11363,90443,11363,5.8,11363,42714
136,11364,26,11364,70408,11364,5.0,11364,35358
137,11365,40,11365,62509,11365,9.6,11365,29287
138,11366,9,11366,78223,11366,9.2,11366,32890
139,11367,42,11367,57310,11367,6.3,11367,27085
140,11368,168,11368,45980,11368,6.2,11368,16220
141,11369,142,11369,51864,11369,7.9,11369,21036
142,11370,43,11370,53293,11370,8.1,11370,21605
143,11372,110,11372,52792,11372,5.3,11372,26735
144,11373,232,11373,45677,11373,6.1,11373,21017
145,11374,49,11374,55550,11374,6.2,11374,34187
146,11375,115,11375,72982,11375,5.4,11375,45616
147,11377,126,11377,51675,11377,5.7,11377,24382
148,11378,30,11378,61631,11378,7.0,11378,31093
149,11379,12,11379,75320,11379,7.1,11379,34291
150,11385,147,11385,60526,11385,6.1,11385,26235
151,11411,15,11411,81678,11411,6.7,11411,31490
152,11412,17,11412,71995,11412,12.7,11412,26554
153,11413,69,11413,80758,11413,8.5,11413,29548
154,11414,9,11414,70490,11414,7.6,11414,35737
155,11415,13,11415,64055,11415,4.9,11415,37190
156,11416,36,11416,59092,11416,10.0,11416,20772
157,11417,26,11417,66978,11417,10.2,11417,24586
158,11418,56,11418,63079,11418,8.5,11418,22888
159,11419,90,11419,62014,11419,9.8,11419,21095
160,11420,34,11420,61484,11420,11.0,11420,22303
161,11421,65,11421,64544,11421,7.2,11421,24385
162,11422,17,11422,85436,11422,6.1,11422,29361
163,11423,23,11423,66070,11423,10.9,11423,26984
164,11426,4,11426,77487,11426,6.1,11426,29886
165,11427,5,11427,65494,11427,6.6,11427,31036
166,11428,28,11428,68675,11428,6.0,11428,23558
167,11429,37,11429,77037,11429,16.5,11429,25988
168,11432,64,11432,52277,11432,10.1,11432,22656
169,11433,64,11433,45820,11433,17.0,11433,19682
170,11434,69,11434,57454,11434,9.6,11434,24044
171,11435,141,11435,55268,11435,12.6,11435,24100
172,11436,26,11436,66837,11436,11.3,11436,24118
173,11691,73,11691,41190,11691,9.9,11691,18914
174,11692,17,11692,42333,11692,12.2,11692,21298
175,11693,25,11693,53829,11693,8.4,11693,28079
176,11694,19,11694,79145,11694,6.7,11694,41019
177,11697,16,11697,100909,11697,5.0,11697,46604
