,POSTCODE,Violation Count,Id2_x,Median income (dollars); Estimate; Households,Id2_y,Unemployment rate; Estimate; Population 16 years and over,Id2,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0,10001,112,10001,85168,10001,6.9,10001,86347
1,10002,240,10002,35594,10002,8.8,10002,29666
2,10003,126,10003,100791,10003,5.5,10003,85199
3,10004,28,10004,123056,10004,6.5,10004,95707
4,10005,16,10005,130116,10005,3.5,10005,99511
5,10006,23,10006,125364,10006,2.3,10006,100788
6,10007,22,10007,234958,10007,1.3,10007,166343
7,10009,130,10009,60788,10009,5.5,10009,46499
8,10010,65,10010,110142,10010,4.1,10010,83240
9,10011,68,10011,114134,10011,4.3,10011,113379
10,10012,91,10012,101815,10012,3.8,10012,79481
11,10013,117,10013,104167,10013,4.4,10013,108003
12,10014,120,10014,119026,10014,5.7,10014,115888
13,10016,69,10016,102703,10016,4.2,10016,87451
14,10017,32,10017,106795,10017,2.5,10017,103346
15,10018,48,10018,105479,10018,3.5,10018,81964
16,10019,164,10019,94477,10019,5.4,10019,90151
17,10021,41,10021,115681,10021,2.9,10021,116440
18,10022,58,10022,123693,10022,3.4,10022,133504
19,10023,59,10023,115080,10023,4.8,10023,111473
20,10024,112,10024,118594,10024,3.4,10024,106735
21,10025,83,10025,80025,10025,7.6,10025,63711
22,10026,114,10026,52082,10026,7.9,10026,36542
23,10027,161,10027,42754,10027,6.1,10027,28396
24,10028,30,10028,111302,10028,3.3,10028,108183
25,10029,182,10029,32500,10029,11.5,10029,27030
26,10030,117,10030,33720,10030,15.2,10030,24542
27,10031,193,10031,41848,10031,9.7,10031,24556
28,10032,228,10032,40054,10032,11.6,10032,20843
29,10033,221,10033,46349,10033,13.6,10033,24421
30,10034,229,10034,45643,10034,12.0,10034,24538
31,10035,117,10035,26893,10035,9.5,10035,20743
32,10036,134,10036,83812,10036,6.5,10036,77208
33,10037,93,10037,39463,10037,12.9,10037,26927
34,10038,46,10038,82910,10038,5.9,10038,59706
35,10039,43,10039,32257,10039,17.3,10039,21880
36,10040,126,10040,45811,10040,10.2,10040,23744
37,10044,88,10044,86483,10044,6.1,10044,49076
38,10065,41,10065,118310,10065,3.5,10065,122657
39,10069,5,10069,155702,10069,5.8,10069,122444
40,10075,13,10075,114481,10075,4.1,10075,113474
41,10128,53,10128,103817,10128,4.5,10128,92067
42,10280,18,10280,146875,10280,4.2,10280,101003
43,10301,59,10301,55700,10301,6.5,10301,28233
44,10302,36,10302,55864,10302,6.6,10302,24433
45,10303,46,10303,55198,10303,5.7,10303,21991
46,10304,61,10304,53843,10304,6.5,10304,30064
47,10305,34,10305,74063,10305,7.1,10305,30422
48,10306,33,10306,78745,10306,5.7,10306,35191
49,10307,63,10307,77278,10307,7.7,10307,36505
50,10308,15,10308,87493,10308,8.3,10308,35044
51,10309,36,10309,93248,10309,3.9,10309,38443
52,10310,34,10310,69201,10310,8.4,10310,29660
53,10312,60,10312,88567,10312,5.5,10312,37173
54,10314,96,10314,77761,10314,5.6,10314,34099
55,10451,198,10451,26419,10451,12.6,10451,17663
56,10452,278,10452,25771,10452,12.2,10452,14136
57,10453,384,10453,22914,10453,12.2,10453,12702
58,10454,205,10454,21553,10454,13.3,10454,12325
59,10455,119,10455,23962,10455,13.6,10455,12897
60,10456,307,10456,25868,10456,13.5,10456,13274
61,10457,333,10457,25967,10457,15.5,10457,13626
62,10458,245,10458,30339,10458,14.4,10458,15656
63,10459,140,10459,24805,10459,8.2,10459,13167
64,10460,190,10460,24086,10460,20.4,10460,13186
65,10461,123,10461,55332,10461,9.4,10461,28443
66,10462,351,10462,48315,10462,13.1,10462,23628
67,10463,118,10463,56568,10463,9.0,10463,31875
68,10464,5,10464,76917,10464,10.3,10464,40808
69,10465,46,10465,73068,10465,8.5,10465,32177
70,10466,300,10466,44354,10466,11.6,10466,21252
71,10467,289,10467,34964,10467,15.8,10467,17484
72,10468,225,10468,34988,10468,13.7,10468,16705
73,10469,176,10469,57124,10469,12.2,10469,23628
74,10470,44,10470,58839,10470,9.5,10470,29849
75,10471,46,10471,81594,10471,7.4,10471,44640
76,10472,307,10472,29934,10472,13.1,10472,14624
77,10473,135,10473,36686,10473,12.4,10473,19146
78,10474,70,10474,26901,10474,10.8,10474,12158
79,10475,25,10475,46340,10475,9.4,10475,25863
80,11004,1,11004,91226,11004,6.3,11004,37442
81,11005,4,11005,63368,11005,0.0,11005,69855
82,11040,4,11040,111035,11040,4.8,11040,42067
83,11101,65,11101,51964,11101,9.3,11101,39670
84,11102,38,11102,56674,11102,7.1,11102,33318
85,11103,112,11103,62775,11103,6.7,11103,35378
86,11104,34,11104,57155,11104,6.0,11104,34638
87,11105,31,11105,62841,11105,6.3,11105,36434
88,11106,42,11106,56442,11106,8.5,11106,33951
89,11109,2,11109,133070,11109,2.0,11109,88966
90,11201,583,11201,109472,11201,6.0,11201,71656
91,11203,590,11203,46971,11203,9.9,11203,23089
92,11204,148,11204,47135,11204,8.4,11204,21242
93,11205,286,11205,47437,11205,10.6,11205,27341
94,11206,357,11206,31549,11206,12.3,11206,19071
95,11207,565,11207,35849,11207,11.8,11207,18401
96,11208,552,11208,37640,11208,9.7,11208,17235
