,POSTCODE,Violation Count,Id2_x,Median income (dollars); Estimate; Households,Id2_y,Unemployment rate; Estimate; Population 16 years and over,Id2,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
119,11233,157,11233,33745,11233,13.2,11233,19798
120,11234,85,11234,71115,11234,10.4,11234,31083
121,11235,181,11235,42818,11235,8.4,11235,29254
122,11236,49,11236,58705,11236,9.8,11236,25115
123,11237,193,11237,44950,11237,13.0,11237,20036
124,11238,262,11238,70873,11238,8.2,11238,42536
125,11239,19,11239,26186,11239,14.4,11239,17659
126,11354,223,11354,44741,11354,7.2,11354,23633
127,11355,265,11355,39168,11355,7.2,11355,19180
128,11356,31,11356,57194,11356,7.8,11356,24718
129,11357,9,11357,73750,11357,8.6,11357,35216
130,11358,43,11358,65258,11358,6.3,11358,30752
131,11360,2,11360,80235,11360,7.3,11360,43302
132,11361,68,11361,79158,11361,8.2,11361,34071
133,11362,9,11362,86758,11362,6.2,11362,40211
134,11363,6,11363,89219,11363,6.9,11363,42925
135,11364,16,11364,72477,11364,5.4,11364,34465
136,11365,13,11365,59520,11365,9.6,11365,28720
137,11366,24,11366,72486,11366,8.1,11366,30870
138,11367,66,11367,56557,11367,7.5,11367,26129
139,11368,107,11368,45004,11368,5.9,11368,15834
140,11369,28,11369,52310,11369,8.9,11369,21184
141,11370,16,11370,53427,11370,9.7,11370,20057
142,11372,99,11372,50485,11372,6.4,11372,25805
143,11373,233,11373,47588,11373,6.1,11373,21324
144,11374,107,11374,52132,11374,7.5,11374,32731
145,11375,277,11375,72414,11375,5.7,11375,44879
146,11377,109,11377,50436,11377,6.1,11377,23745
147,11378,47,11378,57127,11378,8.8,11378,30288
148,11379,35,11379,71551,11379,8.1,11379,33256
149,11385,250,11385,55331,11385,7.2,11385,25100
150,11411,5,11411,81149,11411,6.4,11411,31421
151,11412,16,11412,72458,11412,14.6,11412,25833
152,11413,23,11413,81287,11413,8.9,11413,28943
153,11414,50,11414,68374,11414,8.1,11414,34333
154,11415,71,11415,63756,11415,4.9,11415,35221
155,11416,10,11416,58392,11416,10.9,11416,20849
156,11417,38,11417,62057,11417,11.2,11417,24249
157,11418,83,11418,61480,11418,10.0,11418,22529
158,11419,89,11419,58266,11419,10.2,11419,20109
159,11420,31,11420,59660,11420,11.0,11420,22502
160,11421,81,11421,60996,11421,9.3,11421,23538
161,11422,5,11422,84955,11422,6.4,11422,28435
162,11423,21,11423,62179,11423,11.9,11423,26278
163,11426,4,11426,77146,11426,5.8,11426,29612
164,11427,7,11427,66007,11427,7.6,11427,28860
165,11428,50,11428,67151,11428,8.8,11428,22940
166,11429,23,11429,68684,11429,17.1,11429,25051
167,11432,137,11432,50702,11432,10.4,11432,21903
168,11433,63,11433,42964,11433,17.1,11433,19200
169,11434,31,11434,58076,11434,11.4,11434,23804
170,11435,118,11435,52686,11435,13.9,11435,23672
171,11436,9,11436,64005,11436,12.3,11436,23910
172,11691,28,11691,42023,11691,10.2,11691,18571
173,11692,2,11692,42127,11692,12.9,11692,20644
174,11693,3,11693,53281,11693,10.4,11693,27294
175,11694,4,11694,75094,11694,8.7,11694,39931
176,11697,18,11697,93333,11697,4.5,11697,42135
