GEO.id,GEO.id2,GEO.display-label,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118,HC01_VC171,HC02_VC171,HC03_VC171,HC04_VC171
Id,Id2,Geography,Estimate; EMPLOYMENT STATUS - Civilian labor force,Margin of Error; EMPLOYMENT STATUS - Civilian labor force,Percent; EMPLOYMENT STATUS - Civilian labor force,Percent Margin of Error; EMPLOYMENT STATUS - Civilian labor force,Estimate; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Margin of Error; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Percent; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Percent Margin of Error; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,"Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more","Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more","Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more","Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more",Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings,Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings,Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings,Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Estimate; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people,Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people,Percent Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
8600000US06390,06390,ZCTA5 06390,152,100,152,(X),(X),(X),13.8,15.2,77,41,77,(X),0,11,0.0,31.1,1,3,1.3,3.8,2,3,2.6,3.9,0,11,0.0,31.1,3,4,3.9,6.6,18,23,23.4,27.8,0,11,0.0,31.1,10,9,13.0,12.1,34,33,44.2,30.8,9,8,11.7,12.3,150703,86256,(X),(X),154456,53783,(X),(X),76,42,98.7,4.8,74824,26530,(X),(X),53707,23370,(X),(X),(X),(X),0.9,2.4
8600000US07421,07421,ZCTA5 07421,4385,347,4385,(X),(X),(X),8.0,3.0,2651,195,2651,(X),47,49,1.8,1.9,29,29,1.1,1.1,123,65,4.6,2.4,116,59,4.4,2.3,231,94,8.7,3.5,515,113,19.4,4.1,437,118,16.5,4.4,646,151,24.4,5.4,335,127,12.6,4.5,172,79,6.5,3.0,90412,4718,(X),(X),106369,9998,(X),(X),2296,188,86.6,3.9,105932,10912,(X),(X),39655,3489,(X),(X),(X),(X),8.2,4.5
8600000US10001,10001,ZCTA5 10001,15255,924,15255,(X),(X),(X),6.2,1.7,12347,509,12347,(X),1122,272,9.1,2.2,555,190,4.5,1.6,1035,265,8.4,2.1,403,128,3.3,1.1,1014,279,8.2,2.2,1425,279,11.5,2.3,1230,284,10.0,2.2,1938,294,15.7,2.3,864,201,7.0,1.6,2761,365,22.4,2.6,85221,9970,(X),(X),161227,27879,(X),(X),9989,548,80.9,2.5,172333,21361,(X),(X),86014,15442,(X),(X),(X),(X),18.3,6.0
8600000US10002,10002,ZCTA5 10002,37185,1548,37185,(X),(X),(X),8.3,1.4,33461,596,33461,(X),5025,656,15.0,1.9,4218,480,12.6,1.4,4371,542,13.1,1.6,3013,418,9.0,1.3,3384,511,10.1,1.5,4187,498,12.5,1.4,2639,391,7.9,1.2,3078,382,9.2,1.2,1399,266,4.2,0.8,2147,310,6.4,0.9,35449,2696,(X),(X),65718,2750,(X),(X),21898,789,65.4,2.0,84684,3916,(X),(X),30677,1365,(X),(X),(X),(X),27.5,2.5
8600000US10003,10003,ZCTA5 10003,34690,1419,34690,(X),(X),(X),4.9,0.9,26699,683,26699,(X),1433,332,5.4,1.3,644,179,2.4,0.7,1526,282,5.7,1.0,1431,406,5.4,1.5,2268,388,8.5,1.5,3153,462,11.8,1.7,2316,372,8.7,1.4,3852,491,14.4,1.8,2917,528,10.9,1.9,7159,594,26.8,2.2,104441,6666,(X),(X),182531,10884,(X),(X),22560,841,84.5,2.0,185150,11983,(X),(X),91141,4717,(X),(X),(X),(X),8.7,1.4
8600000US10004,10004,ZCTA5 10004,2181,385,2181,(X),(X),(X),3.7,2.4,1587,205,1587,(X),47,28,3.0,1.8,0,11,0.0,1.9,41,42,2.6,2.6,20,34,1.3,2.2,121,79,7.6,4.9,82,46,5.2,2.9,129,84,8.1,5.6,403,152,25.4,8.5,220,80,13.9,5.1,524,172,33.0,9.3,140450,24948,(X),(X),191760,27855,(X),(X),1489,212,93.8,4.8,193281,29093,(X),(X),105390,14756,(X),(X),(X),(X),3.8,2.3
8600000US10005,10005,ZCTA5 10005,6981,694,6981,(X),(X),(X),2.7,2.1,4239,381,4239,(X),290,135,6.8,3.2,66,63,1.6,1.5,73,67,1.7,1.6,60,73,1.4,1.7,87,68,2.1,1.6,323,158,7.6,3.6,212,120,5.0,2.7,967,264,22.8,6.0,570,194,13.4,4.2,1591,323,37.5,7.0,154213,33230,(X),(X),201734,24603,(X),(X),3927,374,92.6,2.9,210484,25457,(X),(X),102957,11481,(X),(X),(X),(X),10.5,3.7
8600000US10006,10006,ZCTA5 10006,2705,405,2705,(X),(X),(X),1.7,1.4,1815,219,1815,(X),72,55,4.0,3.0,72,61,4.0,3.4,11,17,0.6,0.9,0,11,0.0,1.6,19,31,1.0,1.7,209,104,11.5,5.3,130,71,7.2,3.8,430,159,23.7,8.2,190,99,10.5,5.5,682,177,37.6,8.6,145893,38893,(X),(X),196771,29674,(X),(X),1779,218,98.0,2.5,197662,30618,(X),(X),103279,14411,(X),(X),(X),(X),4.7,2.7
8600000US10007,10007,ZCTA5 10007,3877,475,3877,(X),(X),(X),1.2,1.0,2761,278,2761,(X),64,47,2.3,1.7,52,46,1.9,1.7,0,16,0.0,1.1,63,56,2.3,2.0,87,61,3.2,2.3,67,56,2.4,2.0,193,111,7.0,3.9,344,139,12.5,4.6,296,117,10.7,4.2,1595,215,57.8,5.6,242644,34299,(X),(X),376573,38152,(X),(X),2636,297,95.5,2.6,364966,39505,(X),(X),153897,18671,(X),(X),(X),(X),3.2,1.8
